MatchTime;UT2004Time;Health;Armor;Adrenaline;Score;Deaths;Suicides;Killed;WasKilled;NumKillsWithoutDeath;Team;TeamScore;ItemsCollect;WeaponsCollect;AmmoCollect;HealthCollect;ArmorCollect;ShieldCollect;AdrenalineCollect;OtherCollect;TimeMoving;TimeShooting;DoubleDamageCount;DoubleDamageTime;TraveledDistance;Combo;HasDoubleDamage;IsShooting;Velocity;Location_x;Location_y;Location_z;Onslaught_ONSAVRiLPickup_TimeUsed;XWeapons_SniperRiflePickup_TimeUsed;XWeapons_BioRiflePickup_TimeUsed;XWeapons_ShockRiflePickup_TimeUsed;XWeapons_TransPickup_TimeUsed;Onslaught_ONSMineLayerPickup_TimeUsed;XWeapons_LinkGunPickup_TimeUsed;Onslaught_ONSGrenadePickup_TimeUsed;XWeapons_FlakCannonPickup_TimeUsed;UTClassic_ClassicSniperRiflePickup_TimeUsed;XWeapons_MinigunPickup_TimeUsed;XWeapons_SuperShockRiflePickup_TimeUsed;OnslaughtFull_ONSPainterPickup_TimeUsed;XWeapons_AssaultRiflePickup_TimeUsed;XWeapons_PainterPickup_TimeUsed;XWeapons_ShieldGunPickup_TimeUsed;XWeapons_RedeemerPickup_TimeUsed;XWeapons_RocketLauncherPickup_TimeUsed;Event;EventParams...
0,260;13,290;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0,000;0;0,000;0,000;None;0;0;0,000;1405,890;9955,620;-3193,950;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,490;13,520;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000;0,000;0;0,000;0,000;None;0;0;0,000;1405,890;9955,620;-3193,950;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,740;13,770;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,250;0,000;0;0,000;16,191;None;0;0;223,013;1405,720;9971,810;-3193,950;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,980;14,010;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,490;0,000;0;0,000;115,498;None;0;0;439,985;1404,660;10071,110;-3193,490;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1,240;14,270;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,750;0,000;0;0,000;227,298;None;0;0;439,985;1403,460;10182,900;-3194,390;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1,490;14,520;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,000;0,000;0;0,000;339,118;None;0;0;439,985;1402,260;10294,700;-3196,160;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
1,750;14,780;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,260;0,000;0;0,000;453,351;None;0;0;439,985;1401,040;10408,910;-3198,100;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
2,010;15,040;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,520;0,000;0;0,000;568,730;None;0;0;539,112;1399,820;10522,130;-3175,920;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
2,260;15,290;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,770;0,000;0;0,000;693,152;None;0;0;466,976;1398,550;10640,540;-3137,730;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
2,510;15,540;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,020;0,000;0;0,000;826,343;None;0;0;497,596;1397,290;10758,950;-3076,760;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
